epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9906,1.46017,2.81403,1.52348,0.51165,0.81042,0.62581,0.48085,0.92466,2.17466,1.10324,0.000415858,0.000415858,0.000415858
2,84.6785,1.41456,1.9167,1.53192,0.87587,0.8531,0.96678,0.70048,1.07175,1.61277,1.15143,0.00081604,0.00081604,0.00081604
3,120.779,1.3546,1.53354,1.49512,0.87685,0.9772,0.9923,0.81715,0.82736,1.447,1.08761,0.00119972,0.00119972,0.00119972
4,156.245,1.34666,1.38441,1.50986,0.88782,0.83073,0.91377,0.7152,1.09576,1.88168,1.21949,0.00117575,0.00117575,0.00117575
5,191.784,1.29206,1.30048,1.45108,0.96821,0.97601,0.99456,0.8262,0.58881,0.93347,0.98286,0.001151,0.001151,0.001151
6,227.978,1.24197,1.17812,1.42709,0.90938,0.94828,0.98486,0.81576,0.7085,1.14499,1.04521,0.00112625,0.00112625,0.00112625
7,263.815,1.19101,1.10341,1.39466,0.97741,0.97749,0.99475,0.86636,0.61158,0.69323,0.99155,0.0011015,0.0011015,0.0011015
8,300.194,1.22281,1.04401,1.41927,0.98612,0.98107,0.99483,0.86969,0.63062,0.62382,0.99224,0.00107675,0.00107675,0.00107675
9,336.101,1.16653,1.02266,1.37933,0.97604,0.98714,0.99445,0.88803,0.53149,0.67542,0.97214,0.001052,0.001052,0.001052
10,371.76,1.12489,0.93458,1.34393,0.97705,0.98048,0.99417,0.87025,0.67157,0.81745,0.98469,0.00102725,0.00102725,0.00102725
11,407.28,1.12272,0.90347,1.3651,0.98779,0.99814,0.995,0.90931,0.575,0.59794,0.98259,0.0010025,0.0010025,0.0010025
12,442.664,1.1183,0.89407,1.34353,0.96796,0.99674,0.995,0.88457,0.6637,0.79337,0.99862,0.00097775,0.00097775,0.00097775
13,478.775,1.06833,0.85581,1.32029,0.95907,0.98174,0.99471,0.92196,0.46443,0.749,0.9127,0.000953,0.000953,0.000953
14,514.635,1.07482,0.85028,1.3307,0.97263,0.99569,0.99496,0.91668,0.47509,0.44992,0.90721,0.00092825,0.00092825,0.00092825
15,550.29,1.0269,0.78419,1.28886,0.96337,0.97841,0.9928,0.91401,0.51258,0.49916,0.92485,0.0009035,0.0009035,0.0009035
16,585.758,1.0311,0.77526,1.28534,0.95576,0.98244,0.995,0.91503,0.45071,0.44475,0.89957,0.00087875,0.00087875,0.00087875
17,620.845,1.03235,0.76063,1.29375,0.9783,0.99354,0.99488,0.90244,0.38407,0.46183,0.87465,0.000854,0.000854,0.000854
18,656.495,1.01042,0.75929,1.27161,0.96599,0.97635,0.995,0.89515,0.59453,0.48448,0.95762,0.00082925,0.00082925,0.00082925
19,691.901,1.00603,0.75988,1.2795,0.99108,0.9985,0.995,0.90253,0.45773,0.42245,0.9005,0.0008045,0.0008045,0.0008045
20,727.821,0.98743,0.71896,1.25231,0.95376,0.99138,0.98414,0.89736,0.44427,0.59977,0.91651,0.00077975,0.00077975,0.00077975
21,763.415,0.98737,0.73474,1.25029,0.97218,0.99138,0.99422,0.9025,0.44301,0.44602,0.89642,0.000755,0.000755,0.000755
22,798.833,0.96072,0.72196,1.24798,0.9061,0.99838,0.995,0.90151,0.39027,0.43387,0.87315,0.00073025,0.00073025,0.00073025
23,834.467,0.94634,0.6776,1.24064,0.98021,0.99569,0.99496,0.90603,0.50416,0.37265,0.9195,0.0007055,0.0007055,0.0007055
